Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
P00466	NIFD_KLEPN	Y00316;X07748;X13303;V00631;X12649;X06243;		nifD	Nitrogenase molybdenum-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase) (Nitrogenase component I)
G8AYP7	G8AYP7_AZOBR	HE577330;		nifK AZOBR_p350022	Nitrogenase molybdenum-iron protein beta chain,nifK (EC 1.18.6.1)
Q92ZL3	Q92ZL3_RHIME	AE006469;		nifK SMa0829	NifK nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1)
C1DI24	C1DI24_AZOVD	CP001157;		vnfG Avin_02600	Vanadium nitrogenase, delta subunit, VnfG
M9YKX8	M9YKX8_AZOVI	CP005095;		vnfG AvCA6_02600	Vanadium nitrogenase, delta subunit, VnfG
M9Y0W5	M9Y0W5_AZOVI	CP005094;		vnfG AvCA_02600	Vanadium nitrogenase, delta subunit, VnfG
A5N907	A5N907_CLOK5	CP000673;		vnfG CKL_1746	VnfG (EC 1.18.6.1)
O68949	VNFK_AZOPA	AF058781;		vnfK	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I) (Fragment)
O68952	VNFK_AZOSA	AF058782;		vnfK	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I) (Fragment)
Q07935	ANFK_RHOCA	X70033;		anfK	Nitrogenase iron-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit beta) (Nitrogenase component I)
Q46082	ANFD_CLOHU	U59415;		anfD	Nitrogenase iron-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 3 subunit alpha) (Nitrogenase component I)
O68955	ANFD_HELGE	AF058785;		anfD	Nitrogenase iron-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 3 subunit alpha) (Nitrogenase component I) (Fragment)
P40756	ANFD_LITCT	D17414;			C-type natriuretic peptide 2 (CNP II)
O68943	ANFG_AZOPA	AF058779;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
P16268	ANFG_AZOVI	M23528;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
Q46083	ANFG_CLOHU	U59415;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase 3 subunit G) (Nitrogenase component I)
Q07934	ANFG_RHOCA	X70033;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
O68940	ANFG_RHORU	AF058778;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
O68946	ANFG_AZOMA	AF058780;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 delta subunit) (Nitrogenase component I)
Q46244	ANFG_CLOPA	L09762;		anfG	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
Q46084	ANFK_CLOHU	U59415;		anfK	Nitrogenase iron-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit beta) (Nitrogenase component I) (Fragment)
Q9WXB7	BCHL_ACIRU	AB017351;		bchL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7) (Fragment)
A5EQ80	BCHL_BRASB	CP000494;		bchL BBta_6414	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A4YNP4	BCHL_BRASO	CU234118;		bchL BRADO1642	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9F6X3	BCHL_CHLAA	AF288460;CP000909;		bchL Caur_2554	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B8G943	BCHL_CHLAD	CP001337;		bchL Cagg_3478	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q3APL1	BCHL_CHLCH	CP000108;		bchL Cag_1813	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B3EGV3	BCHL_CHLL2	CP001097;		bchL Clim_2192	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B3QQZ4	BCHL_CHLP8	CP001099;		bchL Cpar_0221	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B3ENS3	BCHL_CHLPB	CP001101;		bchL Cphamn1_2258	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A1BIZ7	BCHL_CHLPD	CP000492;		bchL Cpha266_2386	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B9LKM2	BCHL_CHLSY	CP001364;		bchL Chy400_2758	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B3QZE1	BCHL_CHLT3	CP001100;		bchL Ctha_1371	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9F714	BCHL_CHLTE	AF287482;AE006470;		bchL CT2150	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A8LQ30	BCHL_DINSH	CP000830;		bchL Dshi_3537	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A1WXI6	BCHL_HALHL	CP000544;		bchL Hhal_1634	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B0TBM6	BCHL_HELMI	CP000930;		bchL Helmi_12400 HM1_0687	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9ZGF0	BCHL_HELMO	AF080002;		bchL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q28W37	BCHL_JANSC	CP000264;		bchL Jann_0158	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A9W9E2	BCHL_METEP	CP000908;		bchL Mext_4813	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B7KVV7	BCHL_METC4	CP001298;		bchL Mchl_5280	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B1ZBP2	BCHL_METPB	CP001029;		bchL Mpop_5358	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B1LSF9	BCHL_METRJ	CP001001;		bchL Mrad2831_1845	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B0UDK8	BCHL_METS4	CP000943;		bchL M446_3721	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B8EPX5	BCHL_METSB	CP001280;		bchL Msil_2039	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q3B6C6	BCHL_PELLD	CP000096;		bchL Plut_0217	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B4SC79	BCHL_PELPB	CP001110;		bchL Ppha_0326	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B4S591	BCHL_PROA2	CP001108;		bchL Paes_2027	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A4SCU6	BCHL_PROVI	CP000607;		bchL Cvib_0283	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P0CY53	BCHL_RHOCA			bchL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
D5ANS3	BCHL_RHOCB	Z11165;CP001312;M34843;		bchL RCAP_rcc00662	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B6ITW5	BCHL_RHOCS	CP000613;		bchL RC1_2112	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q2ISY9	BCHL_RHOP2	CP000250;		bchL RPB_3978	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q07RY2	BCHL_RHOP5	CP000463;		bchL RPE_1350	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q6N9K0	BCHL_RHOPA	BX572597;		bchL RPA1545	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q219Q8	BCHL_RHOPB	CP000301;		bchL RPC_1316	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q132N5	BCHL_RHOPS	CP000283;		bchL RPD_3733	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q2RWS1	BCHL_RHORT	CP000230;		bchL Rru_A0620	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9L8J5	BCHL_RHORU	AF202319;		bchL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A3PL19	BCHL_RHOS1	CP000577;		bchL Rsph17029_1931	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9RFD6	BCHL_RHOS4	AF195122;AJ010302;CP000143;		bchL RHOS4_18930 RSP_0288	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A4WR94	BCHL_RHOS5	CP000661;		bchL Rsph17025_1007	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B9KK27	BCHL_RHOSK	CP001150;		bchL RSKD131_1614	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A7NJG1	BCHL_ROSCS	CP000804;		bchL Rcas_1538	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q16DS2	BCHL_ROSDO	CP000362;		bchL RD1_0136	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A5UUJ4	BCHL_ROSS1	CP000686;		bchL RoseRS_1908	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9JPA5	BCHL_RUBGI	AB034704;AP012320;		bchL RGE_33490	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P26177	BCHX_RHOCB	Z11165;CP001312;		bchX RCAP_rcc00687	Chlorophyllide reductase 35.5 kDa chain (EC 1.3.99.35) (Chlorin reductase)
Q02431	BCHX_RHOS4	AJ010302;AF195122;CP000143;		bchX RHOS4_18680 RSP_0262	Chlorophyllide reductase 35.5 kDa chain (EC 1.3.99.35) (Chlorin reductase)
B0C7T2	CHLL_ACAM1	CP000828;		chlL AM1_1445	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q85FG5	CHLL_ADICA	AY178864;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q3MAN6	CHLL_ANAVT	CP000117;		chlL Ava_2332	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q1KVR9	CHLL_ACUOB	DQ396875;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A2T392	CHLL_ANGEV	DQ821119;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q6VQA9	CHLL_AUXPR	AY331981;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q85A82	CHLL_ANTFO	AB086179;AB087494;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q8LU58	CHLL_CHAGL	AF494278;AF494278;		chlL-A chlL-1; chlL-B chlL-2	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q1ACE0	CHLL_CHAVU	DQ229107;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q19V52	CHLL_CHLAT	DQ422812;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q00469	CHLL_CHLRE	X60490;X62905;FJ423446;BK000554;		chlL frxC gidB	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P56291	CHLL_CHLVU	AB001684;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B8HUQ3	CHLL_CYAP4	CP001344;		chlL Cyan7425_3939	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B7JYK3	CHLL_CYAP8	CP001287;		chlL PCC8801_0791	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P48110	CHLL_CYAPA	U30821;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q7NI14	CHLL_GLOVI	BA000045;		chlL gll2370	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A6H5Q2	CHLL_CYCTA	AP009339;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q5SCY9	CHLL_HUPLU	AY660566;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q695L6	CHLL_LARDC	AY603408;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q00237	CHLL_LEPBY	D00665;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P06267	CHLL_MARPO	X04465;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A6YGA4	CHLL_LEPTE	EF506945;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9MUM2	CHLL_MESVI	AF166114;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B0JVB1	CHLL_MICAN	AP009552;		chlL MAE_16230	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q9T399	CHLL_NEPOL	AF137379;AF137379;		chlL-A; chlL-B	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
B2IUL7	CHLL_NOSP7	CP001037;		chlL Npun_R4422	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q8YM62	CHLL_NOSS1	BA000019;		chlL all5078	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q20EX9	CHLL_OLTVI	DQ291132;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q6YXQ7	CHLL_PHYPA	AP005672;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
O47041	CHLL_PICAB	AJ001025;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P26181	CHLL_PINCO	X56200;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q85WT6	CHLL_PINKO	AY228468;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P41645	CHLL_PINTH	D17510;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P36439	CHLL_POLAC	U00732;		chlL frxC	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7) (Fragment)
P51187	CHLL_PORPU	U38804;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A3PBR7	CHLL_PROM0	CP000576;		chlL P9301_05691	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A2C0Z9	CHLL_PROM1	CP000553;		chlL NATL1_05971	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A8G3Q8	CHLL_PROM2	CP000825;		chlL P9215_06241	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A2C7T4	CHLL_PROM3	CP000554;		chlL P9303_07931	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A9BEG6	CHLL_PROM4	CP000878;		chlL P9211_05451	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A2BVK5	CHLL_PROM5	CP000552;		chlL P9515_06071	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q31BZ1	CHLL_PROM9	CP000111;		chlL PMT9312_0543	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q7VD39	CHLL_PROMA	AE017126;		chlL Pro_0544	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q7V6E7	CHLL_PROMM	BX548175;		chlL PMT_1217	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q7V2D7	CHLL_PROMP	BX548174;		chlL PMM0543	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A2BQ24	CHLL_PROMS	CP000551;		chlL A9601_05991	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q46GN6	CHLL_PROMT	CP000095;		chlL PMN2A_1872	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q1XDV0	CHLL_PYRYE	AP006715;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q32RZ7	CHLL_STAPU	AY958085;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q06SC7	CHLL_STIHE	DQ630521;		chlL	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P54207	CHLL_SYNE7	X67694;CP000100;		chlL frxC Synpcc7942_1419	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q2JS74	CHLL_SYNJA	CP000239;		chlL CYA_2382	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q2JMP3	CHLL_SYNJB	CP000240;		chlL CYB_1016	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q53450	CHLL_SYNP2	CP000951;U00733;		chlL frxC SYNPCC7002_A2347	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q5N5U1	CHLL_SYNP6	AP008231;		chlL syc0137_c	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A5GJI1	CHLL_SYNPW	CT971583;		chlL SynWH7803_0670	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q7U5I2	CHLL_SYNPX	BX569693;		chlL SYNW1725	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
A5GUB0	CHLL_SYNR3	CT978603;		chlL SynRCC307_1566	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q0I8P4	CHLL_SYNS3	CP000435;		chlL sync_1975	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q3AWT4	CHLL_SYNS9	CP000097;		chlL Syncc9902_1621	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q3ALL9	CHLL_SYNSC	CP000110;		chlL Syncc9605_0741	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P28373	CHLL_SYNY3	D10474;D10474;BA000022;		chlL frxC slr0749	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q8DGH0	CHLL_THEEB	BA000039;		chlL tll2347	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
Q115L1	CHLL_TRIEI	CP000393;		chlL Tery_1532	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
