Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
Q2WCS9	Q2WCS9_LACPN	AJ966379;AJ966380;AJ966381;AJ966383;AJ966384;AJ966387;		gdh	Glutamate dehydrogenase (Fragment)
B6BK98	B6BK98_SULGG	DS995288;AFRZ01000001;		CBGD1_165 SMGD1_0424	NAD-glutamate dehydrogenase (NAD-specific glutamate dehydrogenase) (EC 1.4.1.2)
D5Z602	D5Z602_MYCTX	DS986664;JLCR01000008;		BO05_01339 TBIG_01882	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
S0IGB3	S0IGB3_PSEAI	ASWU01000008;AZUG01000054;		PAK_02129 Y880_0103940	NAD-glutamate dehydrogenase (NAD-specific glutamate dehydrogenase)
Q2MGZ6	Q2MGZ6_STRSU	EF073054;FJ572237;AB246887;		gdh	Gdh (Gdh protein) (Glutamate dehydrogenase) (Fragment)
A2TF53	A2TF53_STRSU	EF198476;EF539838;EF539839;GU253285;		gdh	Glutamate dehydrogenase
Q9AIW1	Q9AIW1_STRSU	AF229683;AY853916;DQ256411;DQ256414;DQ256454;DQ256455;DQ256456;EF539837;JX683767;JX683768;JX683769;		gdh	Glutamate dehydrogenase
D5YU92	D5YU92_MYCTX	DS985192;JLCZ01000017;		BM97_02774 TBBG_03740	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
G7HK16	G7HK16_9BURK	CAFQ01000042;HG938371;		I35_4248 I35_5701	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
Q2V1X8	Q2V1X8_STRSA	AB199513;AB199514;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1Y2	Q2V1Y2_STRSA	AB199509;AB199510;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1Y0	Q2V1Y0_STRSA	AB199447;AB199512;AB199515;		gdh	Glutamate dehydrogenase (Fragment)
E4D781	E4D781_PROAA	ADYU01000021;		HMPREF9605_01644	Bacterial NAD-glutamate dehydrogenase
S7R361	S7R361_MYCMR	ANPL01000002;		MMEU_2436	NAD-specific glutamate dehydrogenase, large form
V6ZIG1	V6ZIG1_MYCAB	AYTA01000002;		L830_0121	Bacterial NAD-glutamate dehydrogenase family protein
X8GGF0	X8GGF0_MYCTX	JAQH01000005;		Z029_13230	NAD-glutamate dehydrogenase
U7IW52	U7IW52_9ACTO	AXMH01000003;		HMPREF1297_02025	Uncharacterized protein
U9HMI5	U9HMI5_PSEAI	AXPG01000004;		Q074_01956	NAD-specific glutamate dehydrogenase
K5S4N3	K5S4N3_VIBCL	AJSL01000013;		gdhB VCHC46B1_2457	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
I8GEL3	I8GEL3_MYCAB	AKUH01000006;		gudB MA6G1108_0749	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
N7PAQ7	N7PAQ7_BRUSS	AQNT01000008;		C064_03003	Uncharacterized protein
V6ZKF0	V6ZKF0_MYCAB	AYTA01000002;		L830_0122	Bacterial NAD-glutamate dehydrogenase family protein
N6VA67	N6VA67_9RHIZ	AGWB01000036;		m02_12980	NAD glutamate dehydrogenase
V6ZFZ0	V6ZFZ0_MYCAB	AYTA01000006;		L830_4387	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase family protein
I8ZVU5	I8ZVU5_MYCAB	AKUH01000016;		gdh MA6G1108_4501	NAD-dependent glutamate dehydrogenase (EC 1.4.1.2)
V4QI38	V4QI38_PSECO	AOFQ01000030;		F753_10305	Glutamate dehydrogenase
S3Q352	S3Q352_BRUAO	ATGM01000001;		L273_01737	Uncharacterized protein
H0RI25	H0RI25_9ACTO	BAEI01000070;		gdh GOPIP_070_00280	NAD-dependent glutamate dehydrogenase
I9AWP6	I9AWP6_MYCAB	AKUH01000010;		MA6G1108_1594	Putative NAD-DEPENDENT GLUTAMATE DEHYDROGENASE GDH
A0A039H3B3	A0A039H3B3_MYCTX	JKAT01000021;		Z576_02851	NAD-dependent glutamate dehydrogenase Gdh
J1B876	J1B876_STREE	ALCX01000014;		gdh SPAR167_1458	Glutamate dehydrogenase
A0A053NC65	A0A053NC65_MYCTX	JLTA01000003;		P512_02561	NAD-dependent glutamate dehydrogenase Gdh
A0A042ESQ3	A0A042ESQ3_MYCTX	JJUU01000022;		AM87_02922	NAD-dependent glutamate dehydrogenase Gdh
A0A051H4X0	A0A051H4X0_MYCTX	JLZO01000017;		K838_06488	NAD-dependent glutamate dehydrogenase Gdh
A0A056R9S4	A0A056R9S4_MYCTX	JKFL01000010;		X132_02461	NAD-dependent glutamate dehydrogenase Gdh
A0A015R8V2	A0A015R8V2_BACFG	JGCN01000105;		gdh M077_3752	Glutamate dehydrogenase
A0A040BWM5	A0A040BWM5_MYCTX	JLEO01000023;		AJ24_02714	NAD-dependent glutamate dehydrogenase Gdh
A0A045BDD6	A0A045BDD6_MYCTX	JKIB01000012;		AP51_01917	NAD-dependent glutamate dehydrogenase Gdh
C3QX18	C3QX18_9BACE	EQ973361;		gdh BSCG_03430	Glutamate dehydrogenase
A0A015XL87	A0A015XL87_BACFG	JGDK01000142;		gdh M147_3738	Glutamate dehydrogenase
A0A056JG37	A0A056JG37_MYCTX	JKGJ01000009;		X108_02563	NAD-dependent glutamate dehydrogenase Gdh
A0A056KQF7	A0A056KQF7_MYCTX	JKGF01000008;		X112_02581	NAD-dependent glutamate dehydrogenase Gdh
Q93IM2	Q93IM2_THETH	AJ315141;		gdh-1	Glutamate dehydrogenase
A0A043J910	A0A043J910_MYCTX	JKNC01000019;		AO14_03299	NAD-dependent glutamate dehydrogenase Gdh
A0A040FK47	A0A040FK47_MYCTX	JLDZ01000015;		AJ39_01957	NAD-dependent glutamate dehydrogenase Gdh
A0A046FXT5	A0A046FXT5_MYCTX	JKYI01000012;		N119_02576	NAD-dependent glutamate dehydrogenase Gdh
H0IZV8	H0IZV8_9GAMM	AHBC01000017;		MOY_04524	NAD-glutamate dehydrogenase
X6K6P5	X6K6P5_9RHIZ	AYXF01000016;		X726_29100	NAD-glutamate dehydrogenase
U8YLG0	U8YLG0_PSEAI	AXRD01000022;		Q012_05527	NAD-specific glutamate dehydrogenase
U4ZU62	U4ZU62_VIBMI	AWWL01000093;		P781_07290	NAD-glutamate dehydrogenase
S6WBP5	S6WBP5_PSESF	AOKQ01000437;		A221_21476	NAD-glutamate dehydrogenase
X5XU78	X5XU78_9RHIZ	AYWD01000002;		X754_09735	NAD-glutamate dehydrogenase
U9QRH2	U9QRH2_PSEAI	AXRL01000004;		Q004_01231	NAD-specific glutamate dehydrogenase
N7DNH0	N7DNH0_BRUAO	AQLW01000001;		C975_01097	Uncharacterized protein
A0A042D7I0	A0A042D7I0_MYCTX	JJVA01000016;		AM81_02020	NAD-dependent glutamate dehydrogenase Gdh
A0A055C0B3	A0A055C0B3_MYCTX	JKSW01000007;		W035_02554	NAD-dependent glutamate dehydrogenase Gdh
A0A048CN00	A0A048CN00_MYCTX	JKWL01000007;		V937_02570	NAD-dependent glutamate dehydrogenase Gdh
A0A056FAR7	A0A056FAR7_MYCTX	JKGW01000011;		X095_01801	NAD-dependent glutamate dehydrogenase Gdh
C6S9S8	C6S9S8_NEIME	AM889137;		gdhA/ gdh NME_0037	Glutamate dehydrogenase (NAD(P)+) (EC 1.4.1.2)
A0A043HEQ2	A0A043HEQ2_MYCTX	JKNH01000009;		AO09_02294	NAD-dependent glutamate dehydrogenase Gdh
J1IHA5	J1IHA5_STREE	ALCQ01000006;		gdh SPAR160_0898	Glutamate dehydrogenase
A0A046V8K8	A0A046V8K8_MYCTX	JLPR01000012;		T577_02564	NAD-dependent glutamate dehydrogenase Gdh
A0A051K5E8	A0A051K5E8_MYCTX	JLZC01000011;		K848_06493	NAD-dependent glutamate dehydrogenase Gdh
A0A042BTV2	A0A042BTV2_MYCTX	JJVE01000021;		AM74_02775	NAD-dependent glutamate dehydrogenase Gdh
A0A052XST5	A0A052XST5_MYCTX	JLUW01000002;		P463_00631	NAD-dependent glutamate dehydrogenase Gdh
A0A041FGE3	A0A041FGE3_MYCTX	JJYA01000003;		AL86_01807	NAD-dependent glutamate dehydrogenase Gdh
A0A054EDH4	A0A054EDH4_MYCTX	JLQW01000001;		P970_00013	NAD-dependent glutamate dehydrogenase Gdh
A0A039WDP4	A0A039WDP4_MYCTX	JLFK01000014;		AJ01_02072	NAD-dependent glutamate dehydrogenase Gdh
A0A058IJG6	A0A058IJG6_MYCTX	JLKP01000001;		X355_00202	NAD-dependent glutamate dehydrogenase Gdh
A0A046ELS4	A0A046ELS4_MYCTX	JKYM01000009;		N115_02560	NAD-dependent glutamate dehydrogenase Gdh
Q2BJU6	Q2BJU6_NEPCE	AAOW01000014;		MED92_13663	Uncharacterized protein
J1EZ65	J1EZ65_VIBCL	ALDX01000180;		gdhB VCHC56A2_1861	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
I2QPW1	I2QPW1_9BRAD	JH600073;		Bra1253DRAFT_06679	NAD-specific glutamate dehydrogenase
L8RD38	L8RD38_VIBCL	AGUV02000050;		gdhB VCHC67A1_01840	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
I8G9J6	I8G9J6_MYCAB	AKUI01000002;		MM1S1510930_1526	Putative NAD-DEPENDENT GLUTAMATE DEHYDROGENASE GDH
A3UZH4	A3UZH4_VIBSP	AAMR01000068;		V12B01_24889	Putative NAD-glutamate dehydrogenase
N7TRS0	N7TRS0_BRUAO	AQIV01000005;		B994_01451	Uncharacterized protein
F3NYE2	F3NYE2_9ACTO	AFAM01000005;		PA08_0520	Bacterial NAD-glutamate dehydrogenase
U6ZPN5	U6ZPN5_9PSED	AVOY01000211;		P308_14175	Glutamate dehydrogenase
Q2BHA6	Q2BHA6_NEPCE	AAOW01000031;		MED92_12601	NAD-glutamate dehydrogenase
M7IJP9	M7IJP9_VIBCL	APFU01000055;		gdhB VCEDC022_001610	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
A6DEG2	A6DEG2_9PROT	ABCJ01000011;		CMTB2_00384	NAD-specific glutamate dehydrogenase
A0A050KDM3	A0A050KDM3_MYCTX	JLZN01000020;		G058_06496	NAD-dependent glutamate dehydrogenase Gdh
A0A058P2S8	A0A058P2S8_MYCTX	JLJW01000003;		X374_02350	NAD-dependent glutamate dehydrogenase Gdh
A0A047U521	A0A047U521_MYCTX	JLBB01000016;		V740_02099	NAD-dependent glutamate dehydrogenase Gdh
A0A054ZD13	A0A054ZD13_MYCTX	JKTE01000009;		W027_01061	NAD-dependent glutamate dehydrogenase Gdh
A0A054KF67	A0A054KF67_MYCTX	JLQF01000012;		T560_02565	NAD-dependent glutamate dehydrogenase Gdh
A0A046ZA69	A0A046ZA69_MYCTX	JLPE01000006;		T590_00746	NAD-dependent glutamate dehydrogenase Gdh
G1Y365	G1Y365_9PROT	AFBX01000847;		gdhA AZA_22244	NAD-glutamate dehydrogenase
L8RZ86	L8RZ86_VIBCL	AGUX02000042;		gdhB VCHC71A1_01541	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
E2WJW2	E2WJW2_MYCTX	ADIB01000196;		TMLG_02232	Uncharacterized protein
E2WJW3	E2WJW3_MYCTX	ADIB01000197;		TMLG_02233	Bacterial NAD-glutamate dehydrogenase superfamily (Fragment)
W6K693	W6K693_9PROT	FO538765;		gdh MGMAQ_0103	NAD-glutamate dehydrogenase (EC 1.4.1.2)
Z2DG97	Z2DG97_PSEAI	JAAO01000010;		Z046_10685	Glutamate dehydrogenase
A2WFG3	A2WFG3_9BURK	CH482381;		BDAG_03513	NAD-specific glutamate dehydrogenase
M7LX34	M7LX34_VIBCL	APGC01000053;		gdhB VCNHCC008D_001691	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)
U1LN07	U1LN07_9ACTO	ACZI02000002;		HMPREF9336_04222	Uncharacterized protein
X7Z2U0	X7Z2U0_MYCKA	JANZ01000002;		I546_1785	Bacterial NAD-glutamate dehydrogenase family protein
E4DJR8	E4DJR8_PROAA	ADYW01000016;		HMPREF9589_00808	Bacterial NAD-glutamate dehydrogenase
K2MQQ8	K2MQQ8_9PROT	AMRQ01000001;		TH3_02475	Glutamate dehydrogenase
J3H2B5	J3H2B5_9PSED	AKJH01000098;		PMI33_04674	NAD-specific glutamate dehydrogenase
W7VNT0	W7VNT0_9ACTO	KK037233;		MCBG_05041	Glutamate dehydrogenase, NAD-specific
Q2V1U6	Q2V1U6_STRIT	AB199546;		gdh	Glutamate dehydrogenase (Fragment)
A0A057CWN7	A0A057CWN7_MYCTX	JKDT01000010;		X177_02563	NAD-dependent glutamate dehydrogenase Gdh
A0A046PX76	A0A046PX76_MYCTX	JLBR01000011;		Q633_02567	NAD-dependent glutamate dehydrogenase Gdh
A0A046MWF7	A0A046MWF7_MYCTX	JLCG01000003;		Q625_00887	NAD-dependent glutamate dehydrogenase Gdh
A0A038P2L0	A0A038P2L0_MYCTX	JLNC01000014;		V214_02020	NAD-dependent glutamate dehydrogenase Gdh
A0A054SKL2	A0A054SKL2_MYCTX	JKTY01000007;		W004_02270	NAD-dependent glutamate dehydrogenase Gdh
